"Batch", "normal", "drift = NONE", "warning = NONE", "drift & warning = NONE"
1,0.760742,0.737305,0.790039,0.818359
2,0.808594,0.848633,0.787109,0.74707
3,0.852539,0.959961,0.901367,0.837891
4,0.949219,0.851562,0.920898,0.896484
5,0.895508,0.882812,0.905273,0.858398
6,0.838867,0.87207,0.850586,0.821289
7,0.875977,0.87793,0.831055,0.836914
8,0.87793,0.905273,0.871094,0.87793
9,0.869141,0.896484,0.867188,0.897461
10,0.883789,0.896484,0.873047,0.902344
11,0.882812,0.890625,0.868164,0.900391
12,0.862305,0.885742,0.868164,0.874023
13,0.884766,0.902344,0.858398,0.876953
14,0.890625,0.898438,0.883789,0.902344
15,0.901367,0.911133,0.869141,0.90332
16,0.894531,0.917969,0.895508,0.900391
17,0.868164,0.927734,0.879883,0.892578
18,0.919922,0.929688,0.900391,0.916016
19,0.90918,0.916992,0.910156,0.897461
20,0.954102,0.939453,0.924805,0.901367
21,0.950195,0.911133,0.908203,0.920898
22,0.93457,0.912109,0.898438,0.908203
23,0.931641,0.907227,0.891602,0.900391
24,0.930664,0.921875,0.893555,0.919922
25,0.928711,0.928711,0.898438,0.916016
26,0.913086,0.922852,0.914062,0.938477
27,0.912109,0.919922,0.898438,0.935547
28,0.894531,0.884766,0.863281,0.918945
29,0.904297,0.908203,0.87207,0.913086
30,0.897461,0.898438,0.878906,0.914062
31,0.935547,0.923828,0.883789,0.931641
32,0.922852,0.888672,0.874023,0.916992
33,0.921875,0.896484,0.881836,0.927734
34,0.925781,0.898438,0.895508,0.917969
35,0.945312,0.898438,0.910156,0.9375
36,0.953125,0.914062,0.930664,0.927734
37,0.954102,0.914062,0.924805,0.930664
38,0.958984,0.90332,0.918945,0.925781
39,0.958984,0.907227,0.927734,0.925781
40,0.944336,0.900391,0.923828,0.908203
41,0.94043,0.90625,0.932617,0.908203
42,0.949219,0.916016,0.94043,0.915039
43,0.958008,0.922852,0.94043,0.917969
44,0.946289,0.919922,0.936523,0.920898
45,0.952148,0.916992,0.935547,0.920898
46,0.949219,0.917969,0.935547,0.911133
47,0.946289,0.931641,0.936523,0.923828
48,0.942383,0.919922,0.93457,0.920898
49,0.942383,0.925781,0.945312,0.938477
50,0.962891,0.936523,0.952148,0.952148
51,0.9375,0.926758,0.933594,0.941406
52,0.927734,0.920898,0.929688,0.944336
53,0.927734,0.919922,0.928711,0.93457
54,0.930664,0.920898,0.935547,0.927734
55,0.922852,0.916016,0.9375,0.926758
56,0.923828,0.913086,0.933594,0.929688
57,0.930664,0.916016,0.932617,0.932617
58,0.933594,0.913086,0.927734,0.931641
59,0.930664,0.917969,0.929688,0.933594
60,0.932617,0.920898,0.921875,0.943359
61,0.933594,0.922852,0.924805,0.949219
62,0.9375,0.933594,0.920898,0.949219
63,0.946289,0.944336,0.9375,0.954102
64,0.947266,0.944336,0.94043,0.956055
65,0.94043,0.941406,0.93457,0.951172
66,0.948242,0.945312,0.936523,0.949219
67,0.941406,0.942383,0.931641,0.947266
68,0.946289,0.938477,0.939453,0.955078
69,0.941406,0.9375,0.938477,0.958984
70,0.941406,0.9375,0.948242,0.958984
71,0.941406,0.94043,0.951172,0.959961
72,0.941406,0.935547,0.956055,0.959961
73,0.946289,0.94043,0.960938,0.962891
74,0.951172,0.946289,0.967773,0.963867
75,0.952148,0.945312,0.962891,0.962891
76,0.950195,0.947266,0.962891,0.961914
77,0.950195,0.949219,0.962891,0.964844
78,0.949219,0.948242,0.962891,0.966797
79,0.951172,0.951172,0.961914,0.966797
80,0.950195,0.953125,0.956055,0.966797
81,0.950195,0.958984,0.955078,0.967773
82,0.953125,0.957031,0.956055,0.967773
83,0.955078,0.960938,0.966797,0.973633
84,0.958008,0.96875,0.955078,0.973633
85,0.967773,0.96582,0.958984,0.97168
86,0.969727,0.969727,0.960938,0.972656
87,0.96875,0.978516,0.963867,0.974609
88,0.967773,0.977539,0.985352,0.974609
89,0.96875,0.976562,0.982422,0.975586
90,0.96875,0.975586,0.978516,0.987305
91,0.973633,0.975586,0.978516,0.976562
92,0.973633,0.974609,0.976562,0.976562
93,0.970703,0.980469,0.978516,0.983398
94,0.972656,0.981445,0.982422,0.986328
95,0.974609,0.985352,0.986328,0.984375
96,0.976562,0.986328,0.981445,0.984375
97,0.976562,0.987305,0.979492,0.984375
98,0.975586,0.988281,0.978516,0.985352
99,0.979492,0.986328,0.982422,0.984375
100,0.980469,0.996094,0.977539,0.983398
