"Batches", "grace_period = 50", "grace_period = 25", "grace_period = 10", "grace_period = 75", "grace_period = 100"
1,0.645508,0.645508,0.910156,0.645508,0.666016
2,0.831055,0.742188,0.789062,0.779297,0.93457
3,0.830078,0.942383,0.875,0.880859,0.851562
4,0.890625,0.905273,0.893555,0.938477,0.882812
5,0.889648,0.90332,0.866211,0.954102,0.882812
6,0.845703,0.858398,0.797852,0.863281,0.880859
7,0.880859,0.873047,0.829102,0.849609,0.886719
8,0.876953,0.919922,0.850586,0.90332,0.894531
9,0.910156,0.881836,0.896484,0.886719,0.954102
10,0.925781,0.892578,0.908203,0.888672,0.916016
11,0.963867,0.914062,0.908203,0.926758,0.946289
12,0.992188,0.896484,0.869141,0.926758,0.910156
13,0.945312,0.891602,0.869141,0.892578,0.896484
14,0.96875,0.881836,0.878906,0.928711,0.873047
15,0.922852,0.892578,0.874023,0.901367,0.946289
16,0.96582,0.900391,0.90332,0.918945,0.944336
17,0.953125,0.892578,0.904297,0.915039,0.938477
18,0.963867,0.916992,0.888672,0.90918,0.94043
19,0.948242,0.910156,0.892578,0.926758,0.956055
20,0.969727,0.935547,0.915039,0.947266,0.981445
21,0.989258,0.90918,0.919922,0.949219,0.947266
22,0.955078,0.925781,0.916992,0.939453,0.942383
23,0.957031,0.900391,0.899414,0.931641,0.899414
24,0.954102,0.926758,0.902344,0.944336,0.970703
25,0.953125,0.919922,0.902344,0.951172,0.973633
26,0.969727,0.918945,0.915039,0.960938,0.960938
27,0.981445,0.910156,0.919922,0.936523,0.943359
28,0.958984,0.900391,0.898438,0.908203,0.883789
29,0.967773,0.907227,0.914062,0.931641,0.900391
30,0.974609,0.90332,0.916016,0.927734,0.901367
31,0.986328,0.914062,0.930664,0.935547,0.916016
32,0.96582,0.894531,0.913086,0.913086,0.907227
33,0.976562,0.891602,0.902344,0.916016,0.930664
34,0.989258,0.882812,0.894531,0.917969,0.926758
35,0.991211,0.893555,0.913086,0.925781,0.931641
36,0.982422,0.907227,0.93457,0.943359,0.951172
37,0.989258,0.917969,0.939453,0.9375,0.942383
38,0.987305,0.915039,0.916992,0.988281,0.972656
39,0.991211,0.902344,0.925781,0.967773,0.953125
40,0.979492,0.898438,0.924805,0.952148,0.976562
41,0.977539,0.914062,0.927734,0.966797,0.978516
