"Batch", "split_confidence = 0.01", "split_confidence = 0.005", "split_confidence = 0.1", "split_confidence = 0.05"
1,0.774414,0.495117,0.742188,0.645508
2,0.973633,0.805664,0.831055,0.943359
3,0.931641,0.817383,0.847656,0.862305
4,0.907227,0.770508,0.919922,0.869141
5,0.886719,0.913086,0.886719,0.900391
6,0.874023,0.859375,0.837891,0.863281
7,0.875,0.855469,0.87793,0.878906
8,0.887695,0.873047,0.871094,0.895508
9,0.892578,0.883789,0.860352,0.894531
10,0.893555,0.914062,0.858398,0.901367
11,0.924805,0.900391,0.87207,0.919922
12,0.882812,0.884766,0.885742,0.90625
13,0.887695,0.884766,0.873047,0.889648
14,0.87793,0.873047,0.898438,0.883789
15,0.895508,0.880859,0.890625,0.895508
16,0.901367,0.904297,0.904297,0.914062
17,0.894531,0.912109,0.878906,0.900391
18,0.882812,0.885742,0.905273,0.885742
19,0.908203,0.894531,0.898438,0.90332
20,0.897461,0.950195,0.90332,0.911133
21,0.895508,0.947266,0.896484,0.899414
22,0.916016,0.953125,0.905273,0.917969
23,0.919922,0.931641,0.890625,0.90918
24,0.919922,0.928711,0.892578,0.914062
25,0.930664,0.936523,0.918945,0.915039
26,0.905273,0.960938,0.938477,0.904297
27,0.898438,0.957031,0.93457,0.907227
28,0.881836,0.922852,0.879883,0.863281
29,0.905273,0.925781,0.887695,0.883789
30,0.892578,0.918945,0.897461,0.887695
31,0.905273,0.945312,0.904297,0.919922
32,0.871094,0.90918,0.880859,0.885742
33,0.879883,0.910156,0.885742,0.901367
34,0.889648,0.932617,0.881836,0.911133
35,0.908203,0.938477,0.90332,0.917969
36,0.925781,0.947266,0.939453,0.94043
37,0.921875,0.974609,0.946289,0.953125
38,0.915039,0.96875,0.928711,0.939453
39,0.919922,0.966797,0.943359,0.93457
40,0.911133,0.947266,0.943359,0.919922
41,0.907227,0.946289,0.955078,0.932617
42,0.911133,0.944336,0.948242,0.935547
43,0.932617,0.946289,0.955078,0.941406
44,0.923828,0.932617,0.943359,0.936523
45,0.919922,0.933594,0.941406,0.943359
46,0.921875,0.928711,0.946289,0.936523
47,0.942383,0.932617,0.958984,0.944336
48,0.935547,0.941406,0.944336,0.935547
49,0.94043,0.941406,0.939453,0.927734
50,0.938477,0.945312,0.936523,0.926758
51,0.920898,0.9375,0.927734,0.924805
52,0.916992,0.923828,0.922852,0.916016
53,0.918945,0.925781,0.926758,0.924805
54,0.917969,0.924805,0.914062,0.924805
55,0.919922,0.930664,0.915039,0.932617
56,0.916016,0.932617,0.913086,0.928711
57,0.916992,0.933594,0.908203,0.925781
58,0.916992,0.925781,0.910156,0.931641
59,0.917969,0.923828,0.90918,0.935547
60,0.923828,0.929688,0.911133,0.930664
61,0.923828,0.928711,0.916016,0.931641
62,0.926758,0.93457,0.922852,0.935547
63,0.928711,0.942383,0.938477,0.944336
64,0.933594,0.938477,0.942383,0.945312
65,0.930664,0.9375,0.942383,0.942383
66,0.930664,0.943359,0.946289,0.947266
67,0.933594,0.935547,0.9375,0.944336
68,0.932617,0.944336,0.947266,0.951172
69,0.935547,0.9375,0.950195,0.945312
70,0.944336,0.939453,0.956055,0.946289
71,0.961914,0.944336,0.953125,0.946289
72,0.960938,0.943359,0.954102,0.946289
73,0.961914,0.945312,0.956055,0.945312
74,0.963867,0.952148,0.958984,0.950195
75,0.96582,0.948242,0.960938,0.954102
76,0.967773,0.954102,0.959961,0.958984
77,0.967773,0.951172,0.958984,0.960938
78,0.967773,0.953125,0.958008,0.959961
79,0.973633,0.958008,0.959961,0.959961
80,0.972656,0.958008,0.959961,0.958984
81,0.970703,0.964844,0.961914,0.96582
82,0.975586,0.964844,0.962891,0.964844
83,0.982422,0.96875,0.96875,0.966797
84,0.983398,0.979492,0.97168,0.974609
85,0.989258,0.981445,0.969727,0.976562
86,0.974609,0.986328,0.97168,0.96875
87,0.974609,0.995117,0.973633,0.980469
88,0.981445,0.987305,0.972656,0.980469
89,0.984375,0.985352,0.97168,0.986328
90,0.987305,0.989258,0.973633,0.983398
91,0.986328,0.985352,0.972656,0.976562
92,0.987305,0.986328,0.972656,0.975586
93,0.993164,0.990234,0.982422,0.985352
94,0.994141,0.995117,0.989258,0.985352
95,0.996094,0.994141,0.988281,0.991211
96,0.99707,0.993164,0.993164,0.989258
97,0.996094,0.99707,0.994141,0.990234
