"Batch", "beta = 0.1", "beta = 0.25", "beta = 0.5", "beta = 0.75", "beta = 0.9"
1,0.870117,0.870117,0.870117,0.870117,0.870117
2,0.879883,0.879883,0.879883,0.879883,0.879883
3,0.885742,0.885742,0.885742,0.885742,0.885742
4,0.900391,0.900391,0.900391,0.900391,0.900391
5,0.883789,0.883789,0.883789,0.883789,0.883789
6,0.871094,0.871094,0.871094,0.871094,0.871094
7,0.87793,0.87793,0.87793,0.87793,0.87793
8,0.875,0.875,0.875,0.875,0.875
9,0.873047,0.873047,0.873047,0.873047,0.873047
10,0.880859,0.880859,0.880859,0.880859,0.880859
11,0.884766,0.884766,0.884766,0.884766,0.884766
12,0.880859,0.880859,0.880859,0.880859,0.880859
13,0.821289,0.821289,0.821289,0.821289,0.821289
14,0.863281,0.863281,0.863281,0.863281,0.863281
15,0.856445,0.856445,0.856445,0.856445,0.856445
16,0.845703,0.845703,0.845703,0.845703,0.845703
17,0.845703,0.845703,0.845703,0.845703,0.845703
18,0.84668,0.84668,0.84668,0.84668,0.84668
19,0.864258,0.864258,0.864258,0.864258,0.864258
20,0.871094,0.871094,0.871094,0.871094,0.871094
21,0.864258,0.864258,0.864258,0.864258,0.864258
22,0.868164,0.868164,0.868164,0.868164,0.868164
23,0.744141,0.744141,0.744141,0.744141,0.744141
24,0.870117,0.870117,0.870117,0.870117,0.870117
25,0.870117,0.870117,0.870117,0.870117,0.870117
26,0.886719,0.886719,0.886719,0.886719,0.886719
27,0.900391,0.900391,0.900391,0.900391,0.900391
28,0.913086,0.912109,0.830078,0.830078,0.830078
29,0.918945,0.916992,0.867188,0.867188,0.867188
30,0.666016,0.666016,0.625977,0.62207,0.62207
31,0.886719,0.886719,0.879883,0.900391,0.900391
32,0.869141,0.869141,0.860352,0.878906,0.878906
33,0.879883,0.879883,0.875,0.887695,0.887695
34,0.878906,0.878906,0.87207,0.883789,0.883789
35,0.887695,0.887695,0.881836,0.894531,0.894531
36,0.904297,0.904297,0.894531,0.907227,0.907227
37,0.916992,0.916992,0.907227,0.918945,0.918945
38,0.923828,0.923828,0.910156,0.919922,0.919922
39,0.917969,0.917969,0.90918,0.918945,0.918945
40,0.918945,0.918945,0.911133,0.917969,0.917969
41,0.925781,0.925781,0.917969,0.923828,0.923828
42,0.923828,0.923828,0.915039,0.921875,0.921875
43,0.930664,0.930664,0.924805,0.929688,0.929688
44,0.930664,0.930664,0.925781,0.929688,0.929688
45,0.930664,0.930664,0.923828,0.928711,0.928711
46,0.928711,0.928711,0.922852,0.928711,0.928711
47,0.928711,0.928711,0.924805,0.929688,0.929688
48,0.927734,0.927734,0.922852,0.926758,0.926758
49,0.926758,0.926758,0.920898,0.925781,0.925781
50,0.927734,0.927734,0.923828,0.925781,0.925781
51,0.925781,0.925781,0.919922,0.922852,0.922852
52,0.924805,0.924805,0.921875,0.924805,0.924805
53,0.925781,0.925781,0.922852,0.923828,0.923828
54,0.922852,0.922852,0.920898,0.920898,0.920898
55,0.924805,0.924805,0.923828,0.923828,0.923828
56,0.927734,0.927734,0.924805,0.925781,0.925781
57,0.927734,0.927734,0.925781,0.928711,0.928711
58,0.926758,0.926758,0.925781,0.925781,0.925781
59,0.926758,0.926758,0.925781,0.925781,0.925781
60,0.926758,0.926758,0.924805,0.925781,0.925781
61,0.928711,0.928711,0.926758,0.929688,0.929688
62,0.929688,0.929688,0.928711,0.929688,0.929688
63,0.931641,0.931641,0.929688,0.931641,0.931641
64,0.935547,0.935547,0.935547,0.936523,0.936523
65,0.933594,0.933594,0.933594,0.93457,0.93457
66,0.935547,0.935547,0.936523,0.938477,0.938477
67,0.936523,0.936523,0.935547,0.9375,0.9375
68,0.938477,0.938477,0.939453,0.94043,0.94043
69,0.936523,0.936523,0.938477,0.939453,0.939453
70,0.94043,0.94043,0.942383,0.942383,0.942383
71,0.942383,0.942383,0.944336,0.944336,0.944336
72,0.943359,0.943359,0.945312,0.945312,0.945312
73,0.946289,0.946289,0.947266,0.948242,0.948242
74,0.948242,0.948242,0.951172,0.952148,0.952148
75,0.949219,0.949219,0.952148,0.952148,0.952148
76,0.950195,0.950195,0.953125,0.953125,0.953125
77,0.953125,0.953125,0.954102,0.955078,0.955078
78,0.955078,0.955078,0.955078,0.956055,0.956055
79,0.955078,0.955078,0.957031,0.958008,0.958008
80,0.957031,0.957031,0.958008,0.958008,0.958008
81,0.957031,0.957031,0.958008,0.958008,0.958008
82,0.958008,0.958008,0.958984,0.959961,0.959961
83,0.958008,0.958008,0.959961,0.959961,0.959961
84,0.957031,0.957031,0.958984,0.959961,0.959961
85,0.957031,0.957031,0.959961,0.959961,0.959961
86,0.956055,0.956055,0.958008,0.958984,0.958984
87,0.958008,0.958008,0.959961,0.960938,0.960938
88,0.959961,0.959961,0.961914,0.961914,0.961914
89,0.962891,0.962891,0.962891,0.963867,0.963867
90,0.961914,0.961914,0.961914,0.962891,0.962891
91,0.964844,0.964844,0.963867,0.963867,0.963867
92,0.963867,0.963867,0.963867,0.964844,0.964844
93,0.964844,0.964844,0.96582,0.96582,0.96582
94,0.966797,0.966797,0.967773,0.967773,0.967773
95,0.966797,0.966797,0.96875,0.96875,0.96875
96,0.967773,0.967773,0.969727,0.969727,0.969727
97,0.967773,0.967773,0.97168,0.97168,0.97168
98,0.969727,0.969727,0.97168,0.97168,0.97168
99,0.970703,0.970703,0.972656,0.972656,0.972656
100,0.97168,0.97168,0.973633,0.973633,0.973633
101,0.97168,0.97168,0.973633,0.973633,0.973633
102,0.974609,0.974609,0.976562,0.977539,0.977539
