"Batches", "period = 10", "period = 25", "period = 50", "period = 75", "period = 100"
1,0.870117,0.870117,0.870117,0.870117,0.870117
2,0.879883,0.879883,0.879883,0.879883,0.879883
3,0.885742,0.885742,0.885742,0.885742,0.885742
4,0.900391,0.900391,0.900391,0.900391,0.900391
5,0.883789,0.883789,0.883789,0.883789,0.883789
6,0.871094,0.871094,0.871094,0.871094,0.871094
7,0.87793,0.87793,0.87793,0.87793,0.87793
8,0.875,0.875,0.875,0.875,0.875
9,0.873047,0.873047,0.873047,0.873047,0.873047
10,0.880859,0.880859,0.880859,0.880859,0.880859
11,0.884766,0.884766,0.884766,0.884766,0.884766
12,0.880859,0.880859,0.880859,0.880859,0.880859
13,0.854492,0.821289,0.821289,0.884766,0.884766
14,0.866211,0.863281,0.863281,0.878906,0.878906
15,0.858398,0.856445,0.856445,0.879883,0.879883
16,0.845703,0.845703,0.845703,0.871094,0.871094
17,0.845703,0.845703,0.845703,0.867188,0.867188
18,0.84668,0.84668,0.84668,0.869141,0.869141
19,0.864258,0.864258,0.864258,0.880859,0.880859
20,0.871094,0.871094,0.871094,0.887695,0.887695
21,0.864258,0.864258,0.864258,0.87793,0.87793
22,0.868164,0.868164,0.868164,0.881836,0.881836
23,0.744141,0.744141,0.744141,0.666016,0.875
24,0.881836,0.870117,0.870117,0.863281,0.884766
25,0.887695,0.870117,0.870117,0.855469,0.890625
26,0.891602,0.886719,0.886719,0.882812,0.891602
27,0.832031,0.900391,0.900391,0.875,0.888672
28,0.825195,0.830078,0.830078,0.860352,0.881836
29,0.904297,0.874023,0.867188,0.868164,0.881836
30,0.59375,0.628906,0.625977,0.666016,0.666016
31,0.896484,0.914062,0.879883,0.881836,0.868164
32,0.858398,0.862305,0.860352,0.860352,0.859375
33,0.873047,0.87793,0.875,0.873047,0.869141
34,0.870117,0.873047,0.87207,0.866211,0.875977
35,0.881836,0.885742,0.881836,0.881836,0.879883
36,0.899414,0.900391,0.894531,0.898438,0.885742
37,0.59668,0.916992,0.907227,0.917969,0.885742
38,0.917969,0.922852,0.910156,0.915039,0.878906
39,0.841797,0.920898,0.90918,0.914062,0.87793
40,0.865234,0.921875,0.911133,0.911133,0.881836
41,0.878906,0.928711,0.917969,0.920898,0.888672
42,0.880859,0.924805,0.915039,0.916016,0.884766
43,0.90332,0.931641,0.924805,0.922852,0.889648
44,0.905273,0.928711,0.925781,0.922852,0.889648
45,0.919922,0.931641,0.923828,0.923828,0.891602
46,0.923828,0.930664,0.922852,0.922852,0.889648
47,0.925781,0.930664,0.924805,0.925781,0.889648
48,0.624023,0.926758,0.922852,0.922852,0.887695
49,0.898438,0.598633,0.920898,0.603516,0.886719
50,0.941406,0.901367,0.923828,0.90332,0.888672
51,0.932617,0.922852,0.919922,0.922852,0.888672
52,0.936523,0.926758,0.921875,0.925781,0.884766
53,0.938477,0.923828,0.922852,0.924805,0.884766
54,0.935547,0.919922,0.920898,0.923828,0.883789
55,0.939453,0.924805,0.923828,0.926758,0.883789
56,0.94043,0.924805,0.924805,0.926758,0.885742
57,0.939453,0.925781,0.925781,0.922852,0.883789
58,0.94043,0.924805,0.925781,0.921875,0.882812
59,0.941406,0.927734,0.925781,0.922852,0.883789
60,0.942383,0.928711,0.924805,0.927734,0.890625
61,0.945312,0.931641,0.926758,0.928711,0.889648
62,0.944336,0.933594,0.928711,0.927734,0.891602
63,0.947266,0.938477,0.929688,0.929688,0.889648
64,0.936523,0.94043,0.935547,0.933594,0.889648
65,0.9375,0.94043,0.933594,0.932617,0.891602
66,0.942383,0.943359,0.936523,0.936523,0.895508
67,0.94043,0.941406,0.935547,0.9375,0.898438
68,0.62207,0.945312,0.939453,0.941406,0.900391
69,0.949219,0.945312,0.938477,0.941406,0.897461
70,0.954102,0.948242,0.942383,0.943359,0.899414
71,0.953125,0.948242,0.944336,0.946289,0.902344
72,0.954102,0.950195,0.945312,0.947266,0.90625
73,0.959961,0.951172,0.947266,0.949219,0.90918
74,0.962891,0.953125,0.951172,0.952148,0.922852
75,0.96582,0.953125,0.952148,0.952148,0.923828
76,0.969727,0.955078,0.953125,0.955078,0.931641
77,0.972656,0.956055,0.954102,0.957031,0.93457
78,0.977539,0.955078,0.955078,0.957031,0.9375
79,0.978516,0.961914,0.957031,0.963867,0.942383
80,0.97168,0.959961,0.958008,0.960938,0.942383
81,0.97168,0.961914,0.958008,0.961914,0.946289
82,0.975586,0.960938,0.958984,0.962891,0.949219
83,0.976562,0.961914,0.959961,0.963867,0.950195
84,0.974609,0.961914,0.958984,0.963867,0.949219
85,0.977539,0.958008,0.959961,0.958984,0.949219
86,0.976562,0.958008,0.958008,0.958984,0.951172
87,0.979492,0.960938,0.959961,0.962891,0.953125
88,0.980469,0.962891,0.961914,0.962891,0.953125
89,0.982422,0.96582,0.962891,0.96582,0.956055
90,0.980469,0.96582,0.961914,0.96582,0.956055
91,0.981445,0.96875,0.963867,0.966797,0.958008
92,0.980469,0.969727,0.963867,0.966797,0.958008
93,0.979492,0.970703,0.96582,0.967773,0.958984
94,0.979492,0.973633,0.967773,0.970703,0.958984
95,0.981445,0.974609,0.96875,0.970703,0.960938
96,0.981445,0.975586,0.969727,0.973633,0.960938
97,0.980469,0.975586,0.97168,0.973633,0.961914
98,0.981445,0.974609,0.97168,0.974609,0.961914
99,0.982422,0.975586,0.972656,0.975586,0.962891
100,0.972656,0.975586,0.973633,0.975586,0.964844
101,0.97168,0.976562,0.973633,0.977539,0.96582
102,0.969727,0.980469,0.976562,0.978516,0.96582
