"Batch", "leaf_size = 10", "leaf_size = 20", "leaf_size = 30", "leaf_size = 40", "leaf_size = 50"
1,0.897461,0.897461,0.897461,0.897461,0.897461
2,0.863281,0.863281,0.863281,0.863281,0.863281
3,0.916016,0.916016,0.916016,0.916016,0.916016
4,0.893555,0.893555,0.893555,0.893555,0.893555
5,0.901367,0.901367,0.901367,0.901367,0.901367
6,0.868164,0.868164,0.868164,0.868164,0.868164
7,0.875977,0.875977,0.875977,0.875977,0.875977
8,0.878906,0.878906,0.878906,0.878906,0.878906
9,0.883789,0.883789,0.883789,0.883789,0.883789
10,0.884766,0.884766,0.884766,0.884766,0.884766
11,0.896484,0.896484,0.896484,0.896484,0.896484
12,0.895508,0.895508,0.895508,0.895508,0.895508
13,0.897461,0.897461,0.897461,0.897461,0.897461
14,0.895508,0.895508,0.895508,0.895508,0.895508
15,0.895508,0.895508,0.895508,0.895508,0.895508
16,0.892578,0.892578,0.892578,0.892578,0.892578
17,0.890625,0.890625,0.890625,0.890625,0.890625
18,0.894531,0.894531,0.894531,0.894531,0.894531
19,0.899414,0.899414,0.899414,0.899414,0.899414
20,0.90332,0.90332,0.90332,0.90332,0.90332
21,0.899414,0.899414,0.899414,0.899414,0.899414
22,0.899414,0.899414,0.899414,0.899414,0.899414
23,0.900391,0.900391,0.900391,0.900391,0.900391
24,0.912109,0.912109,0.912109,0.912109,0.912109
25,0.90918,0.90918,0.90918,0.90918,0.90918
26,0.90918,0.90918,0.90918,0.90918,0.90918
27,0.907227,0.907227,0.907227,0.907227,0.907227
28,0.902344,0.902344,0.902344,0.902344,0.902344
29,0.910156,0.910156,0.910156,0.910156,0.910156
30,0.905273,0.905273,0.905273,0.905273,0.905273
31,0.908203,0.908203,0.908203,0.908203,0.908203
32,0.894531,0.894531,0.894531,0.894531,0.894531
33,0.893555,0.893555,0.893555,0.893555,0.893555
34,0.889648,0.889648,0.889648,0.889648,0.889648
35,0.894531,0.894531,0.894531,0.894531,0.894531
36,0.890625,0.890625,0.890625,0.890625,0.890625
37,0.887695,0.887695,0.887695,0.887695,0.887695
38,0.882812,0.882812,0.882812,0.882812,0.882812
39,0.886719,0.886719,0.886719,0.886719,0.886719
40,0.885742,0.885742,0.885742,0.885742,0.885742
41,0.885742,0.885742,0.885742,0.885742,0.885742
42,0.884766,0.884766,0.884766,0.884766,0.884766
43,0.885742,0.885742,0.885742,0.885742,0.885742
44,0.884766,0.884766,0.884766,0.884766,0.884766
45,0.883789,0.883789,0.883789,0.883789,0.883789
46,0.886719,0.886719,0.886719,0.886719,0.886719
47,0.889648,0.889648,0.889648,0.889648,0.889648
48,0.890625,0.890625,0.890625,0.890625,0.890625
49,0.893555,0.893555,0.893555,0.893555,0.893555
50,0.904297,0.904297,0.904297,0.904297,0.904297
51,0.907227,0.907227,0.907227,0.907227,0.907227
52,0.911133,0.911133,0.911133,0.911133,0.911133
53,0.907227,0.907227,0.907227,0.907227,0.907227
54,0.900391,0.900391,0.900391,0.900391,0.900391
55,0.90332,0.90332,0.90332,0.90332,0.90332
56,0.904297,0.904297,0.904297,0.904297,0.904297
57,0.905273,0.905273,0.905273,0.905273,0.905273
58,0.910156,0.910156,0.910156,0.910156,0.910156
59,0.913086,0.913086,0.913086,0.913086,0.913086
60,0.914062,0.914062,0.914062,0.914062,0.914062
61,0.916992,0.916992,0.916992,0.916992,0.916992
62,0.919922,0.919922,0.919922,0.919922,0.919922
63,0.925781,0.925781,0.925781,0.925781,0.925781
64,0.928711,0.928711,0.928711,0.928711,0.928711
65,0.922852,0.922852,0.922852,0.922852,0.922852
66,0.921875,0.921875,0.921875,0.921875,0.921875
67,0.926758,0.926758,0.926758,0.926758,0.926758
68,0.931641,0.931641,0.931641,0.931641,0.931641
69,0.932617,0.932617,0.932617,0.932617,0.932617
70,0.927734,0.927734,0.927734,0.927734,0.927734
71,0.930664,0.930664,0.930664,0.930664,0.930664
72,0.929688,0.929688,0.929688,0.929688,0.929688
73,0.930664,0.930664,0.930664,0.930664,0.930664
74,0.927734,0.927734,0.927734,0.927734,0.927734
75,0.926758,0.926758,0.926758,0.926758,0.926758
76,0.922852,0.922852,0.922852,0.922852,0.922852
77,0.923828,0.923828,0.923828,0.923828,0.923828
78,0.927734,0.927734,0.927734,0.927734,0.927734
79,0.929688,0.929688,0.929688,0.929688,0.929688
80,0.931641,0.931641,0.931641,0.931641,0.931641
81,0.936523,0.936523,0.936523,0.936523,0.936523
82,0.947266,0.947266,0.947266,0.947266,0.947266
83,0.956055,0.956055,0.956055,0.956055,0.956055
84,0.958984,0.958984,0.958984,0.958984,0.958984
85,0.960938,0.960938,0.960938,0.960938,0.960938
86,0.960938,0.960938,0.960938,0.960938,0.960938
87,0.961914,0.961914,0.961914,0.961914,0.961914
88,0.962891,0.962891,0.962891,0.962891,0.962891
89,0.967773,0.967773,0.967773,0.967773,0.967773
90,0.96875,0.96875,0.96875,0.96875,0.96875
91,0.966797,0.966797,0.966797,0.966797,0.966797
92,0.972656,0.972656,0.972656,0.972656,0.972656
93,0.975586,0.975586,0.975586,0.975586,0.975586
94,0.979492,0.979492,0.979492,0.979492,0.979492
95,0.984375,0.984375,0.984375,0.984375,0.984375
96,0.988281,0.988281,0.988281,0.988281,0.988281
97,0.986328,0.986328,0.986328,0.986328,0.986328
98,0.985352,0.985352,0.985352,0.985352,0.985352
99,0.982422,0.982422,0.982422,0.982422,0.982422
100,0.992188,0.992188,0.992188,0.992188,0.992188
101,0.994141,0.994141,0.994141,0.994141,0.994141
102,0.993164,0.993164,0.993164,0.993164,0.993164
103,0.990234,0.990234,0.990234,0.990234,0.990234
104,0.996094,0.996094,0.996094,0.996094,0.996094
105,0.996094,0.996094,0.996094,0.996094,0.996094
106,0.990234,0.990234,0.990234,0.990234,0.990234
107,0.987305,0.987305,0.987305,0.987305,0.987305
108,0.982422,0.982422,0.982422,0.982422,0.982422
109,0.973633,0.973633,0.973633,0.973633,0.973633
110,0.972656,0.972656,0.972656,0.972656,0.972656
111,0.96582,0.96582,0.96582,0.96582,0.96582
112,0.962891,0.962891,0.962891,0.962891,0.962891
113,0.960938,0.960938,0.960938,0.960938,0.960938
114,0.959961,0.959961,0.959961,0.959961,0.959961
115,0.952148,0.952148,0.952148,0.952148,0.952148
116,0.953125,0.953125,0.953125,0.953125,0.953125
117,0.951172,0.951172,0.951172,0.951172,0.951172
118,0.944336,0.944336,0.944336,0.944336,0.944336
119,0.94043,0.94043,0.94043,0.94043,0.94043
120,0.75,0.75,0.75,0.75,0.75
121,0.755859,0.755859,0.755859,0.755859,0.755859
122,0.756836,0.756836,0.756836,0.756836,0.756836
123,0.761719,0.761719,0.761719,0.761719,0.761719
124,0.768555,0.768555,0.768555,0.768555,0.768555
125,0.775391,0.775391,0.775391,0.775391,0.775391
126,0.78125,0.78125,0.78125,0.78125,0.78125
127,0.787109,0.787109,0.787109,0.787109,0.787109
128,0.793945,0.793945,0.793945,0.793945,0.793945
129,0.798828,0.798828,0.798828,0.798828,0.798828
130,0.801758,0.801758,0.801758,0.801758,0.801758
131,0.804688,0.804688,0.804688,0.804688,0.804688
132,0.807617,0.807617,0.807617,0.807617,0.807617
133,0.80957,0.80957,0.80957,0.80957,0.80957
134,0.806641,0.806641,0.806641,0.806641,0.806641
135,0.802734,0.802734,0.802734,0.802734,0.802734
136,0.800781,0.800781,0.800781,0.800781,0.800781
137,0.802734,0.802734,0.802734,0.802734,0.802734
138,0.799805,0.799805,0.799805,0.799805,0.799805
139,0.799805,0.799805,0.799805,0.799805,0.799805
140,0.791992,0.791992,0.791992,0.791992,0.791992
141,0.795898,0.795898,0.795898,0.795898,0.795898
142,0.797852,0.797852,0.797852,0.797852,0.797852
143,0.795898,0.795898,0.795898,0.795898,0.795898
144,0.796875,0.796875,0.796875,0.796875,0.796875
145,0.804688,0.804688,0.804688,0.804688,0.804688
146,0.813477,0.813477,0.813477,0.813477,0.813477
147,0.816406,0.816406,0.816406,0.816406,0.816406
148,0.825195,0.825195,0.825195,0.825195,0.825195
149,0.832031,0.832031,0.832031,0.832031,0.832031
150,0.838867,0.838867,0.838867,0.838867,0.838867
151,0.841797,0.841797,0.841797,0.841797,0.841797
152,0.839844,0.839844,0.839844,0.839844,0.839844
153,0.839844,0.839844,0.839844,0.839844,0.839844
154,0.835938,0.835938,0.835938,0.835938,0.835938
155,0.837891,0.837891,0.837891,0.837891,0.837891
156,0.836914,0.836914,0.836914,0.836914,0.836914
157,0.850586,0.850586,0.850586,0.850586,0.850586
158,0.848633,0.848633,0.848633,0.848633,0.848633
159,0.857422,0.857422,0.857422,0.857422,0.857422
160,0.871094,0.871094,0.871094,0.871094,0.871094
161,0.893555,0.893555,0.893555,0.893555,0.893555
162,0.916016,0.916016,0.916016,0.916016,0.916016
163,0.921875,0.921875,0.921875,0.921875,0.921875
164,0.929688,0.929688,0.929688,0.929688,0.929688
165,0.933594,0.933594,0.933594,0.933594,0.933594
166,0.929688,0.929688,0.929688,0.929688,0.929688
167,0.929688,0.929688,0.929688,0.929688,0.929688
168,0.928711,0.928711,0.928711,0.928711,0.928711
169,0.929688,0.929688,0.929688,0.929688,0.929688
170,0.926758,0.926758,0.926758,0.926758,0.926758
171,0.927734,0.927734,0.927734,0.927734,0.927734
172,0.93457,0.93457,0.93457,0.93457,0.93457
173,0.93457,0.93457,0.93457,0.93457,0.93457
174,0.943359,0.943359,0.943359,0.943359,0.943359
175,0.944336,0.944336,0.944336,0.944336,0.944336
176,0.944336,0.944336,0.944336,0.944336,0.944336
177,0.949219,0.949219,0.949219,0.949219,0.949219
178,0.947266,0.947266,0.947266,0.947266,0.947266
179,0.949219,0.949219,0.949219,0.949219,0.949219
180,0.701172,0.701172,0.701172,0.701172,0.701172
181,0.702148,0.702148,0.702148,0.702148,0.702148
182,0.71582,0.71582,0.71582,0.71582,0.71582
183,0.719727,0.719727,0.719727,0.719727,0.719727
184,0.739258,0.739258,0.739258,0.739258,0.739258
185,0.743164,0.743164,0.743164,0.743164,0.743164
186,0.749023,0.749023,0.749023,0.749023,0.749023
187,0.749023,0.749023,0.749023,0.749023,0.749023
188,0.74707,0.74707,0.74707,0.74707,0.74707
189,0.757812,0.757812,0.757812,0.757812,0.757812
190,0.758789,0.758789,0.758789,0.758789,0.758789
191,0.760742,0.760742,0.760742,0.760742,0.760742
192,0.765625,0.765625,0.765625,0.765625,0.765625
193,0.758789,0.758789,0.758789,0.758789,0.758789
194,0.764648,0.764648,0.764648,0.764648,0.764648
195,0.764648,0.764648,0.764648,0.764648,0.764648
196,0.768555,0.768555,0.768555,0.768555,0.768555
197,0.766602,0.766602,0.766602,0.766602,0.766602
198,0.771484,0.771484,0.771484,0.771484,0.771484
199,0.78125,0.78125,0.78125,0.78125,0.78125
200,0.790039,0.790039,0.790039,0.790039,0.790039
201,0.792969,0.792969,0.792969,0.792969,0.792969
202,0.806641,0.806641,0.806641,0.806641,0.806641
203,0.834961,0.834961,0.834961,0.834961,0.834961
204,0.848633,0.848633,0.848633,0.848633,0.848633
205,0.856445,0.856445,0.856445,0.856445,0.856445
206,0.859375,0.859375,0.859375,0.859375,0.859375
207,0.865234,0.865234,0.865234,0.865234,0.865234
208,0.873047,0.873047,0.873047,0.873047,0.873047
209,0.87207,0.87207,0.87207,0.87207,0.87207
210,0.875,0.875,0.875,0.875,0.875
211,0.875,0.875,0.875,0.875,0.875
212,0.868164,0.868164,0.868164,0.868164,0.868164
