"Batch", "normal", "drift = NONE", "warning = NONE", "drift & warning = NONE"
1,0.912,0.892,0.912,0.912
2,0.964,0.952,0.936,0.968
3,0.956,0.956,0.944,0.96
4,0.976,0.972,0.948,0.96
5,0.976,0.956,0.96,0.96
6,0.984,0.988,0.964,0.988
7,0.984,0.972,0.98,0.972
8,0.984,0.98,0.98,0.992
9,0.988,0.988,0.972,0.996
10,0.992,0.988,0.988,1.0
11,0.988,1.0,0.992,0.988
12,0.96,0.96,0.96,0.96
13,0.968,0.956,0.952,0.96
14,0.988,0.976,0.98,0.98
15,0.984,0.98,0.968,0.988
16,0.98,0.976,0.98,0.984
17,0.996,0.972,0.984,0.976
18,0.996,0.988,0.976,0.988
19,0.972,0.98,0.976,0.984
20,0.992,0.996,0.988,0.992
21,0.996,0.996,0.992,0.996
22,0.992,0.98,0.98,0.992
23,0.988,0.984,0.996,0.992
24,0.996,0.988,0.992,0.988
25,0.992,0.988,0.988,0.988
26,1.0,0.992,0.988,0.992
27,0.984,0.988,0.98,0.984
28,0.984,0.98,0.976,0.976
29,0.984,0.988,0.988,0.976
30,0.996,0.988,0.988,0.996
31,0.988,0.988,0.984,0.984
32,0.984,0.992,0.984,0.992
33,0.988,0.996,0.988,0.988
34,0.988,0.988,0.98,0.996
35,0.988,0.988,0.984,0.992
36,0.996,0.996,0.996,0.996
37,0.996,1.0,0.992,1.0
38,0.996,0.988,0.98,0.984
39,0.996,0.996,1.0,1.0
40,0.996,0.996,0.992,0.992
41,0.98,0.988,0.98,0.996
42,0.996,0.992,0.988,0.992
43,0.996,1.0,0.996,0.996
44,0.992,0.992,0.988,0.988
45,0.992,0.988,0.984,0.988
46,0.988,0.984,0.98,0.98
47,0.992,0.992,0.992,0.996
48,0.988,0.992,0.98,0.988
49,0.98,0.988,0.996,0.976
50,0.988,0.992,0.996,1.0
51,0.932,0.928,0.936,0.932
52,0.932,0.932,0.928,0.932
53,0.936,0.936,0.94,0.94
54,0.952,0.944,0.948,0.948
55,0.932,0.912,0.924,0.916
56,0.924,0.924,0.928,0.936
57,0.916,0.916,0.92,0.92
58,0.932,0.924,0.928,0.92
59,0.924,0.928,0.928,0.92
60,0.948,0.948,0.964,0.96
61,0.9,0.916,0.936,0.908
62,0.964,0.964,0.964,0.952
63,0.916,0.92,0.936,0.924
64,0.92,0.92,0.94,0.924
65,0.928,0.928,0.924,0.924
66,0.944,0.944,0.952,0.928
67,0.944,0.944,0.94,0.94
68,0.952,0.944,0.948,0.952
69,0.952,0.952,0.96,0.952
70,0.964,0.96,0.948,0.956
71,0.96,0.968,0.968,0.952
72,0.96,0.956,0.968,0.968
73,0.956,0.948,0.96,0.956
74,0.964,0.968,0.968,0.968
75,0.952,0.936,0.956,0.952
76,0.98,0.988,0.98,0.98
77,0.96,0.96,0.96,0.96
78,0.968,0.94,0.96,0.956
79,0.968,0.964,0.968,0.96
80,0.952,0.952,0.956,0.972
81,0.968,0.964,0.964,0.968
82,0.964,0.96,0.956,0.94
83,0.964,0.976,0.968,0.968
84,0.936,0.94,0.948,0.944
85,0.964,0.952,0.964,0.948
86,0.98,0.968,0.968,0.968
87,0.984,0.976,0.988,0.984
88,0.984,0.984,0.984,0.988
89,0.976,0.976,0.98,0.96
90,0.956,0.976,0.972,0.964
91,0.972,0.976,0.972,0.976
92,0.964,0.96,0.972,0.956
93,0.992,0.976,0.984,0.976
94,0.972,0.96,0.98,0.98
95,0.98,0.96,0.976,0.956
96,0.98,0.968,0.98,0.972
97,0.98,0.968,0.972,0.972
98,0.976,0.98,0.98,0.984
99,0.988,0.98,0.988,0.976
100,0.976,0.956,0.976,0.964
101,0.872,0.872,0.876,0.872
102,0.84,0.864,0.856,0.852
103,0.884,0.9,0.892,0.896
104,0.884,0.868,0.888,0.864
105,0.876,0.864,0.88,0.876
106,0.924,0.896,0.912,0.9
107,0.88,0.884,0.908,0.88
108,0.92,0.912,0.932,0.896
109,0.904,0.892,0.916,0.888
110,0.916,0.888,0.944,0.884
111,0.904,0.892,0.948,0.88
112,0.944,0.888,0.932,0.888
113,0.96,0.888,0.944,0.884
114,0.956,0.872,0.956,0.892
115,0.952,0.872,0.96,0.864
116,0.96,0.892,0.956,0.884
117,0.984,0.904,0.972,0.896
118,0.968,0.928,0.964,0.924
119,0.984,0.944,0.972,0.924
120,0.976,0.924,0.972,0.94
121,0.988,0.944,0.984,0.936
122,0.984,0.932,0.98,0.944
123,0.976,0.956,0.98,0.956
124,0.98,0.936,0.976,0.908
125,0.968,0.916,0.972,0.924
126,0.988,0.96,0.988,0.944
127,0.992,0.94,0.996,0.948
128,0.992,0.948,0.988,0.944
129,0.984,0.948,0.984,0.936
130,0.98,0.936,0.98,0.952
131,0.976,0.956,0.984,0.948
132,0.984,0.936,0.976,0.94
133,0.996,0.96,0.992,0.948
134,1.0,0.944,1.0,0.968
135,0.996,0.964,0.992,0.972
136,0.996,0.96,0.984,0.968
137,0.98,0.96,0.976,0.956
138,0.968,0.984,0.972,0.984
139,0.988,0.972,0.984,0.96
140,0.996,0.976,0.988,0.964
141,0.984,0.96,0.988,0.968
142,0.98,0.968,0.976,0.956
143,0.984,0.956,0.984,0.96
144,0.98,0.956,0.98,0.956
145,0.996,0.972,0.992,0.98
146,0.988,0.968,0.988,0.96
147,1.0,0.964,0.996,0.98
148,0.996,0.972,0.988,0.968
149,1.0,0.976,0.996,0.988
150,0.992,0.988,0.992,0.988
151,0.864,0.892,0.868,0.884
152,0.84,0.86,0.832,0.848
153,0.784,0.816,0.792,0.832
154,0.868,0.832,0.872,0.848
155,0.92,0.864,0.928,0.86
156,0.92,0.828,0.916,0.832
157,0.936,0.848,0.912,0.836
158,0.948,0.832,0.96,0.872
159,0.96,0.884,0.976,0.884
160,0.956,0.86,0.96,0.868
161,0.96,0.852,0.964,0.852
162,0.96,0.832,0.968,0.824
163,0.94,0.836,0.948,0.82
164,0.988,0.892,0.972,0.896
165,0.98,0.88,0.992,0.912
166,0.976,0.896,0.976,0.868
167,0.948,0.888,0.964,0.872
168,0.98,0.904,0.98,0.908
169,0.968,0.928,0.98,0.92
170,0.984,0.9,0.984,0.924
171,0.98,0.892,0.976,0.892
172,0.992,0.892,0.984,0.876
173,0.98,0.928,0.988,0.916
174,0.968,0.872,0.96,0.88
175,0.98,0.924,0.972,0.896
176,0.98,0.848,0.98,0.88
177,0.98,0.928,0.98,0.924
178,0.996,0.92,0.996,0.928
179,0.98,0.868,0.984,0.856
180,0.976,0.932,0.984,0.944
181,0.976,0.924,0.988,0.892
182,0.996,0.94,0.992,0.932
183,0.988,0.932,0.984,0.92
184,0.976,0.94,0.984,0.92
185,0.988,0.936,0.988,0.944
186,0.988,0.94,0.988,0.94
187,0.98,0.924,0.98,0.936
188,0.976,0.94,0.992,0.916
189,0.976,0.924,0.992,0.924
190,0.996,0.94,0.988,0.944
191,0.988,0.924,0.976,0.916
192,0.976,0.96,0.996,0.944
193,0.984,0.932,0.972,0.936
194,0.984,0.936,0.992,0.932
195,0.996,0.96,0.996,0.952
196,0.984,0.948,0.992,0.952
197,0.984,0.952,0.992,0.944
198,0.992,0.952,0.992,0.956
199,0.996,0.948,0.996,0.944
200,0.984,0.96,0.988,0.948
201,0.96674,0.94224,0.96664,0.94198
