"Batches", "grace_period = 50", "grace_period = 25", "grace_period = 10", "grace_period = 75", "grace_period = 100"
1,0.936,0.944,0.9,0.936,0.896
2,0.956,0.944,0.936,0.968,0.948
3,0.956,0.964,0.956,0.968,0.948
4,0.964,0.972,0.936,0.968,0.944
5,0.96,0.952,0.952,0.96,0.936
6,0.992,0.976,0.984,0.976,0.968
7,0.98,0.976,0.968,0.968,0.972
8,0.984,0.984,0.984,0.992,0.988
9,0.976,0.996,0.988,0.98,0.984
10,0.988,0.992,0.98,0.984,0.992
11,0.992,1.0,0.996,0.98,0.992
12,0.96,0.956,0.956,0.972,0.968
13,0.96,0.956,0.96,0.96,0.972
14,0.988,0.976,0.98,0.976,0.992
15,0.968,0.972,0.988,0.976,0.976
16,0.98,0.976,0.968,0.988,0.976
17,0.98,0.988,0.984,0.988,0.98
18,0.984,0.992,0.98,0.988,0.984
19,0.988,0.976,0.976,0.988,0.972
20,0.992,0.988,0.988,0.996,0.988
21,0.992,0.992,0.992,0.992,0.988
22,0.988,0.984,0.988,0.988,0.992
23,0.98,0.976,0.996,0.984,0.988
24,0.984,0.992,0.996,0.988,0.992
25,0.988,0.988,0.992,0.984,0.992
26,0.992,0.988,0.984,0.984,0.984
27,0.988,0.98,0.984,0.984,0.992
28,0.984,0.988,0.972,0.98,0.984
29,0.98,0.988,0.984,0.992,0.992
30,0.988,0.988,0.992,0.988,0.984
31,0.992,0.972,0.98,0.992,0.984
32,0.996,0.988,0.988,0.976,0.984
33,0.984,0.988,0.988,0.988,0.984
34,0.984,0.976,0.976,0.988,0.988
35,0.988,0.996,0.98,0.996,0.992
36,0.992,0.992,0.992,0.996,0.996
37,0.996,0.992,0.984,1.0,0.988
38,0.992,0.992,0.992,0.996,0.992
39,1.0,0.984,0.992,0.992,0.992
40,0.992,0.996,0.996,0.996,0.996
41,0.992,0.984,0.984,0.984,0.992
42,0.992,0.992,0.992,0.996,0.992
43,0.996,1.0,0.992,1.0,0.996
44,0.996,0.984,0.996,0.992,0.988
45,0.984,0.988,0.984,0.98,0.992
46,0.98,0.98,0.988,0.976,0.988
47,0.996,0.996,0.996,0.992,0.992
48,0.996,0.98,0.984,0.976,0.98
49,0.984,0.984,0.992,0.984,0.984
50,1.0,0.988,1.0,1.0,0.992
51,0.932,0.932,0.936,0.936,0.932
52,0.932,0.936,0.928,0.936,0.936
53,0.924,0.936,0.928,0.924,0.928
54,0.944,0.944,0.944,0.944,0.948
55,0.924,0.924,0.916,0.916,0.912
56,0.928,0.928,0.92,0.932,0.932
57,0.912,0.912,0.916,0.912,0.912
58,0.924,0.936,0.928,0.936,0.932
59,0.928,0.928,0.924,0.932,0.932
60,0.948,0.944,0.952,0.948,0.948
61,0.92,0.916,0.912,0.912,0.9
62,0.952,0.964,0.964,0.96,0.956
63,0.936,0.928,0.928,0.936,0.924
64,0.916,0.924,0.932,0.928,0.932
65,0.92,0.92,0.92,0.94,0.936
66,0.94,0.944,0.936,0.956,0.952
67,0.944,0.948,0.928,0.944,0.932
68,0.948,0.924,0.936,0.952,0.944
69,0.952,0.96,0.956,0.968,0.96
70,0.96,0.956,0.968,0.96,0.948
71,0.968,0.956,0.96,0.968,0.964
72,0.952,0.96,0.952,0.964,0.964
73,0.96,0.948,0.972,0.976,0.964
74,0.972,0.96,0.976,0.968,0.964
75,0.964,0.944,0.964,0.964,0.956
76,0.976,0.98,0.98,0.98,0.976
77,0.972,0.972,0.976,0.976,0.98
78,0.968,0.952,0.956,0.952,0.956
79,0.96,0.968,0.976,0.968,0.964
80,0.964,0.956,0.956,0.952,0.964
81,0.968,0.956,0.972,0.964,0.968
82,0.96,0.952,0.98,0.96,0.968
83,0.968,0.972,0.964,0.968,0.98
84,0.952,0.94,0.956,0.972,0.936
85,0.972,0.96,0.96,0.964,0.944
86,0.976,0.976,0.96,0.968,0.98
87,0.98,0.976,0.976,0.988,0.988
88,0.996,0.988,0.984,0.984,0.992
89,0.98,0.98,0.988,0.976,0.972
90,0.968,0.972,0.968,0.968,0.968
91,0.976,0.968,0.98,0.988,0.972
92,0.964,0.956,0.968,0.956,0.968
93,0.988,0.968,0.976,0.984,0.98
94,0.976,0.968,0.976,0.972,0.968
95,0.976,0.98,0.968,0.992,0.968
96,0.98,0.98,0.964,0.976,0.976
97,0.98,0.976,0.98,0.972,0.96
98,0.992,0.976,0.964,0.976,0.972
99,0.98,0.976,0.976,0.984,0.98
100,0.972,0.968,0.968,0.972,0.98
101,0.876,0.88,0.876,0.876,0.872
102,0.848,0.856,0.836,0.856,0.864
103,0.884,0.896,0.876,0.884,0.892
104,0.86,0.876,0.88,0.884,0.892
105,0.876,0.876,0.884,0.888,0.892
106,0.908,0.904,0.892,0.912,0.908
107,0.884,0.884,0.892,0.876,0.9
108,0.908,0.9,0.912,0.904,0.932
109,0.912,0.9,0.896,0.912,0.912
110,0.924,0.896,0.912,0.912,0.92
111,0.904,0.904,0.92,0.9,0.924
112,0.908,0.892,0.916,0.9,0.924
113,0.896,0.896,0.928,0.904,0.964
114,0.94,0.912,0.924,0.924,0.968
115,0.956,0.9,0.916,0.908,0.964
116,0.956,0.916,0.928,0.948,0.96
117,0.964,0.936,0.932,0.948,0.976
118,0.972,0.952,0.956,0.956,0.984
119,0.976,0.944,0.964,0.984,0.988
120,0.98,0.952,0.968,0.96,0.968
121,0.988,0.96,0.952,0.98,0.992
122,0.976,0.948,0.96,0.972,0.988
123,0.98,0.956,0.956,0.976,0.976
124,0.976,0.952,0.964,0.972,0.988
125,0.964,0.964,0.952,0.96,0.976
126,0.996,0.976,0.976,0.984,0.984
127,0.984,0.98,0.988,0.984,0.996
128,0.996,0.992,0.984,0.996,0.988
129,0.988,0.98,0.988,0.988,0.996
130,0.988,0.976,0.98,0.988,0.992
131,0.98,0.968,0.984,0.984,0.976
132,0.992,0.98,0.988,0.988,0.984
133,0.996,0.988,0.992,0.996,0.992
134,0.996,0.996,0.996,0.988,0.992
135,1.0,0.992,0.988,1.0,1.0
136,0.984,0.98,0.996,0.984,0.98
137,0.988,0.984,0.988,0.98,0.984
138,0.984,0.988,0.992,0.98,0.98
139,0.996,0.988,1.0,0.98,0.992
140,0.992,0.992,0.996,0.992,0.996
141,0.996,0.984,0.988,0.992,0.98
142,0.984,0.972,0.992,0.976,0.984
143,0.992,0.992,0.992,0.984,0.98
144,0.988,0.988,0.98,0.984,0.976
145,0.996,0.996,0.992,0.996,0.988
146,0.996,0.992,0.992,0.988,0.984
147,0.996,0.996,1.0,0.996,0.992
148,0.988,0.988,0.996,0.988,1.0
149,1.0,0.996,0.996,1.0,0.996
150,0.996,0.988,0.992,0.988,0.992
151,0.868,0.864,0.868,0.856,0.864
152,0.848,0.836,0.824,0.824,0.82
153,0.816,0.804,0.788,0.792,0.812
