"Batch", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", n_estimators = 20", "n_estimators = 40"
1,0.812,0.892,0.904,0.928,0.952
2,0.884,0.94,0.952,0.964,0.968
3,0.884,0.944,0.956,0.96,0.956
4,0.952,0.952,0.964,0.94,0.968
5,0.94,0.948,0.98,0.96,0.968
6,0.948,0.972,0.996,0.984,0.992
7,0.948,0.964,0.956,0.984,0.98
8,0.976,0.968,0.98,0.976,0.984
9,0.976,0.972,0.98,0.992,0.992
10,0.988,0.98,0.992,0.996,0.988
11,0.98,0.992,0.996,1.0,0.996
12,0.94,0.952,0.968,0.964,0.972
13,0.94,0.956,0.952,0.968,0.964
14,0.98,0.98,0.98,0.992,0.984
15,0.976,0.964,0.976,0.972,0.976
16,0.98,0.972,0.98,0.98,0.976
17,0.98,0.98,0.972,0.98,0.98
18,0.98,0.988,0.976,0.988,0.988
19,0.968,0.972,0.992,0.976,0.984
20,0.984,0.996,0.988,0.996,0.996
21,0.968,0.988,0.996,0.996,0.996
22,0.98,0.976,0.98,0.992,0.988
23,0.988,0.968,0.988,0.996,0.988
24,0.984,0.98,0.992,0.988,1.0
25,0.976,0.984,0.972,0.988,0.992
26,0.988,0.98,0.996,0.988,0.996
27,0.984,0.98,0.98,0.98,0.98
28,0.976,0.976,0.984,0.984,0.972
29,0.984,0.976,0.992,0.988,0.98
30,0.968,0.992,0.996,0.984,0.988
31,0.96,0.98,0.984,0.98,0.992
32,0.972,0.984,0.988,0.984,0.988
33,0.984,0.996,0.98,0.988,0.992
34,0.964,0.976,0.984,0.992,1.0
35,0.988,0.988,0.988,0.992,0.992
36,0.98,0.98,1.0,1.0,0.996
37,0.976,0.98,0.992,1.0,0.996
38,0.98,0.988,0.988,0.988,0.992
39,0.988,0.984,0.996,0.996,0.996
40,0.984,0.996,0.992,1.0,1.0
41,0.984,0.98,0.984,0.98,0.988
42,0.984,0.992,0.992,0.992,0.996
43,1.0,0.992,1.0,1.0,0.996
44,0.988,0.992,0.992,0.992,0.992
45,0.98,0.992,0.984,0.984,0.988
46,0.956,0.98,0.976,0.984,0.984
47,0.988,0.988,0.992,0.996,0.992
48,0.972,0.992,0.984,0.984,0.988
49,0.976,0.984,0.988,0.992,1.0
50,0.984,0.996,0.996,1.0,1.0
