"Batch", "split_confidence = 0.01", "split_confidence = 0.005", "split_confidence = 0.1", "split_confidence = 0.05"
1,0.92,0.976,0.94,0.952
2,0.96,0.952,0.956,0.96
3,0.98,0.948,0.972,0.964
4,0.956,0.964,0.968,0.948
5,0.948,0.952,0.968,0.952
6,0.976,0.968,0.988,0.976
7,0.964,0.984,0.952,0.976
8,0.988,0.98,0.98,0.992
9,0.984,0.972,0.976,0.984
10,0.996,0.996,0.996,0.988
11,0.996,0.992,0.988,0.992
12,0.972,0.96,0.968,0.972
13,0.956,0.968,0.964,0.972
14,0.984,0.976,0.98,0.984
15,0.976,0.976,0.98,0.98
16,0.988,0.98,0.968,0.992
17,0.988,0.988,0.976,0.984
18,0.992,0.988,0.984,0.992
19,0.984,0.976,0.984,0.992
20,1.0,0.988,0.996,0.988
21,0.984,1.0,1.0,0.988
22,0.984,0.984,0.992,0.996
23,0.984,0.988,0.988,0.988
24,0.992,0.992,1.0,0.996
25,0.988,0.988,0.988,0.988
26,0.98,0.996,0.996,0.992
27,0.98,0.968,0.984,0.988
28,0.98,0.976,0.972,0.984
29,0.98,0.98,0.98,0.984
30,0.98,0.992,0.988,0.988
31,0.988,0.988,0.992,0.992
32,0.968,0.996,0.984,0.98
33,0.984,0.988,0.988,0.988
34,0.976,0.976,0.988,0.98
35,0.988,0.992,0.992,0.988
36,0.988,0.992,0.992,0.992
37,0.988,0.996,0.98,0.996
38,0.992,0.996,0.992,0.996
39,0.996,0.996,0.996,0.988
40,1.0,1.0,0.996,0.992
41,0.984,0.984,0.992,0.976
42,1.0,0.988,0.988,1.0
43,0.996,1.0,1.0,0.996
44,0.992,0.988,0.992,0.996
45,0.988,0.992,0.988,0.988
46,0.984,0.988,0.972,0.98
47,0.984,0.992,0.992,0.992
48,0.984,0.992,0.988,0.984
49,0.988,1.0,0.988,0.992
50,0.988,1.0,0.992,1.0
51,0.932,0.924,0.936,0.928
52,0.936,0.928,0.936,0.932
53,0.932,0.928,0.928,0.928
54,0.944,0.944,0.956,0.94
55,0.908,0.932,0.92,0.916
56,0.932,0.936,0.932,0.928
57,0.916,0.912,0.924,0.92
58,0.932,0.928,0.928,0.932
59,0.928,0.928,0.928,0.928
60,0.948,0.94,0.96,0.952
61,0.912,0.904,0.92,0.916
62,0.972,0.96,0.956,0.964
63,0.932,0.936,0.92,0.928
64,0.94,0.924,0.928,0.912
65,0.916,0.932,0.932,0.932
66,0.944,0.944,0.94,0.956
67,0.936,0.94,0.944,0.94
68,0.944,0.94,0.948,0.952
