"Batch", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", "n_estimators = 20", "n_estimators = 50"
1,0.952,0.952,0.952,0.952,0.952
2,0.964,0.964,0.964,0.964,0.964
3,0.972,0.972,0.972,0.972,0.972
4,0.976,0.976,0.976,0.976,0.976
5,0.948,0.948,0.948,0.948,0.948
6,0.984,0.984,0.984,0.984,0.984
7,0.964,0.964,0.964,0.964,0.964
8,0.98,0.988,0.988,0.988,0.988
9,0.94,0.972,0.968,0.968,0.968
10,0.952,0.976,0.976,0.976,0.976
11,0.988,0.98,0.992,0.992,0.992
12,0.964,0.956,0.96,0.96,0.96
13,0.968,0.968,0.96,0.96,0.96
14,0.964,0.964,0.964,0.964,0.964
15,0.964,0.968,0.968,0.968,0.968
16,0.984,0.98,0.972,0.972,0.972
17,0.964,0.964,0.976,0.976,0.976
18,0.972,0.976,0.98,0.98,0.98
19,0.736,0.968,0.976,0.976,0.976
20,0.692,0.7,0.916,0.92,0.92
21,0.96,0.964,0.964,0.968,0.968
22,0.952,0.952,0.956,0.96,0.96
23,0.98,0.98,0.988,0.984,0.984
24,0.624,0.624,0.968,0.972,0.972
25,0.704,0.948,0.956,0.976,0.976
26,0.976,0.984,0.984,0.984,0.984
27,0.956,0.956,0.956,0.956,0.956
28,0.972,0.972,0.972,0.972,0.972
29,0.952,0.952,0.96,0.96,0.96
30,0.968,0.968,0.968,0.968,0.968
31,0.7,0.96,0.972,0.972,0.972
32,0.9,0.908,0.948,0.948,0.948
33,0.988,0.952,0.972,0.972,0.972
34,0.948,0.932,0.956,0.956,0.96
35,0.972,0.976,0.98,0.98,0.98
36,0.988,0.988,0.988,0.988,0.988
37,0.948,0.956,0.968,0.972,0.972
38,0.972,0.972,0.972,0.972,0.976
39,0.968,0.968,0.976,0.976,0.976
40,0.98,0.98,0.98,0.98,0.98
41,0.98,0.98,0.98,0.984,0.984
42,0.96,0.968,0.972,0.98,0.98
43,0.98,0.984,0.984,0.984,0.984
44,0.976,0.968,0.972,0.972,0.972
45,0.98,0.976,0.976,0.98,0.98
46,0.984,0.976,0.976,0.976,0.976
47,0.968,0.976,0.98,0.98,0.98
48,0.964,0.964,0.964,0.956,0.952
49,0.692,0.984,0.988,0.988,0.988
50,0.988,0.992,0.992,0.992,0.988
51,0.928,0.924,0.912,0.904,0.904
52,0.628,0.94,0.932,0.92,0.92
53,0.6,0.936,0.94,0.924,0.92
54,0.952,0.956,0.98,0.968,0.964
55,0.936,0.936,0.94,0.936,0.936
56,0.972,0.964,0.96,0.952,0.952
57,0.964,0.96,0.96,0.96,0.956
58,0.984,0.968,0.968,0.968,0.968
59,0.948,0.944,0.944,0.944,0.944
60,0.98,0.976,0.968,0.968,0.968
61,0.956,0.948,0.94,0.94,0.94
62,0.976,0.976,0.976,0.976,0.976
63,0.936,0.936,0.936,0.936,0.936
64,0.96,0.96,0.96,0.96,0.96
65,0.944,0.944,0.944,0.944,0.944
66,0.964,0.956,0.956,0.956,0.956
67,0.956,0.956,0.956,0.956,0.956
68,0.972,0.972,0.972,0.972,0.972
69,0.968,0.972,0.972,0.972,0.972
70,0.964,0.964,0.964,0.964,0.964
71,0.968,0.964,0.96,0.96,0.96
72,0.972,0.968,0.968,0.968,0.968
73,0.976,0.972,0.972,0.972,0.972
74,0.968,0.972,0.964,0.964,0.964
75,0.548,0.908,0.932,0.928,0.928
76,0.96,0.996,0.98,0.976,0.976
77,0.984,0.988,0.988,0.984,0.984
78,0.984,0.988,0.98,0.968,0.968
79,0.98,0.972,0.972,0.972,0.972
80,0.936,0.932,0.932,0.932,0.932
81,0.964,0.96,0.96,0.968,0.968
82,0.976,0.956,0.956,0.956,0.956
83,0.98,0.972,0.972,0.972,0.972
84,0.956,0.956,0.956,0.956,0.956
85,0.968,0.968,0.968,0.968,0.968
86,0.98,0.976,0.976,0.976,0.976
87,0.62,0.988,0.988,0.988,0.988
88,0.988,0.992,0.988,0.992,0.992
89,0.984,0.98,0.98,0.98,0.98
90,0.972,0.976,0.972,0.968,0.968
91,0.984,0.984,0.98,0.98,0.98
92,0.964,0.964,0.96,0.964,0.964
93,0.976,0.98,0.98,0.984,0.984
94,0.98,0.976,0.976,0.976,0.976
95,0.976,0.98,0.976,0.976,0.976
96,0.96,0.964,0.96,0.96,0.96
97,0.968,0.98,0.976,0.98,0.98
98,0.564,0.936,0.964,0.98,0.98
99,0.988,0.992,0.992,0.992,0.992
100,0.968,0.968,0.96,0.964,0.964
101,0.912,0.892,0.884,0.884,0.884
102,0.94,0.912,0.936,0.908,0.9
103,0.98,0.952,0.98,0.944,0.944
104,0.732,0.98,0.98,0.972,0.98
105,0.98,0.972,0.972,0.984,0.984
106,0.968,0.984,0.984,0.98,0.98
107,0.972,0.984,0.984,0.972,0.972
108,0.98,0.992,0.992,0.98,0.98
109,0.976,0.968,0.968,0.976,0.976
110,0.984,0.992,0.992,0.988,0.988
111,0.992,0.996,0.996,0.992,0.992
112,0.996,0.996,0.996,0.996,0.996
113,0.996,1.0,1.0,0.996,0.996
114,0.976,0.992,0.992,0.992,0.992
115,0.968,0.98,0.976,0.98,0.98
116,0.976,0.988,0.98,0.988,0.988
117,0.968,0.98,0.98,0.98,0.98
118,0.96,0.972,0.98,0.984,0.984
119,0.964,0.972,0.976,0.976,0.976
120,0.964,0.968,0.968,0.968,0.968
121,0.98,0.98,0.992,0.992,0.992
122,0.972,0.98,0.988,0.996,0.996
123,0.992,0.992,0.992,0.992,0.992
124,0.98,0.976,0.984,0.984,0.984
125,0.976,0.972,0.972,0.976,0.976
126,0.996,0.996,0.996,0.996,0.996
127,0.984,1.0,1.0,1.0,1.0
128,0.964,0.972,0.98,0.98,0.98
129,0.972,0.984,0.984,0.984,0.984
130,0.732,0.964,0.976,0.976,0.976
131,0.74,0.956,0.98,0.98,0.98
132,0.94,0.96,0.964,0.968,0.968
133,0.776,0.952,0.976,0.98,0.98
134,0.972,0.976,0.988,0.988,0.988
135,0.98,0.98,0.98,0.988,0.988
136,0.972,0.964,0.972,0.976,0.976
137,0.76,0.76,0.964,0.968,0.972
138,0.968,0.968,0.956,0.964,0.964
139,0.972,0.972,0.956,0.98,0.984
140,0.976,0.972,0.964,0.984,0.988
141,0.964,0.964,0.948,0.968,0.972
142,0.968,0.968,0.956,0.968,0.968
143,0.956,0.956,0.964,0.972,0.972
144,0.952,0.96,0.968,0.972,0.972
145,0.96,0.96,0.96,0.964,0.964
