"Batches", "theta = 0.01", "theta = 0.001", "theta = 0.0001", "theta = 0.05", "theta = 0.1"
1,0.952,0.952,0.952,0.952,0.952
2,0.964,0.964,0.964,0.964,0.964
3,0.972,0.972,0.972,0.972,0.972
4,0.976,0.976,0.976,0.976,0.976
5,0.948,0.948,0.948,0.948,0.948
6,0.984,0.984,0.984,0.984,0.984
7,0.964,0.964,0.964,0.964,0.964
8,0.988,0.988,0.988,0.988,0.988
9,0.972,0.972,0.972,0.972,0.972
10,0.976,0.976,0.976,0.976,0.976
11,0.98,0.98,0.98,0.98,0.98
12,0.956,0.956,0.956,0.956,0.956
13,0.968,0.968,0.968,0.968,0.968
14,0.964,0.964,0.964,0.964,0.964
15,0.968,0.968,0.968,0.968,0.968
16,0.98,0.98,0.98,0.98,0.98
17,0.964,0.964,0.964,0.964,0.964
18,0.976,0.976,0.976,0.976,0.976
19,0.968,0.968,0.968,0.968,0.968
20,0.7,0.7,0.7,0.7,0.7
21,0.964,0.964,0.964,0.964,0.964
22,0.952,0.952,0.952,0.952,0.952
23,0.98,0.98,0.98,0.98,0.98
24,0.624,0.624,0.624,0.624,0.624
25,0.948,0.948,0.948,0.948,0.948
26,0.984,0.984,0.984,0.984,0.984
27,0.956,0.956,0.956,0.956,0.956
28,0.972,0.972,0.972,0.972,0.972
29,0.952,0.952,0.952,0.952,0.952
30,0.968,0.968,0.968,0.968,0.968
31,0.96,0.96,0.96,0.96,0.96
32,0.908,0.908,0.908,0.908,0.908
33,0.952,0.952,0.952,0.952,0.952
34,0.932,0.932,0.932,0.932,0.932
35,0.976,0.976,0.976,0.976,0.976
36,0.988,0.988,0.988,0.988,0.988
37,0.956,0.956,0.956,0.956,0.956
38,0.972,0.972,0.972,0.972,0.972
39,0.968,0.968,0.968,0.968,0.968
40,0.98,0.98,0.98,0.98,0.98
41,0.98,0.98,0.98,0.98,0.98
42,0.968,0.968,0.968,0.968,0.968
43,0.984,0.984,0.984,0.984,0.984
44,0.968,0.968,0.968,0.968,0.968
45,0.976,0.976,0.976,0.976,0.976
46,0.976,0.976,0.976,0.976,0.976
47,0.976,0.976,0.976,0.976,0.976
48,0.964,0.964,0.964,0.964,0.964
49,0.984,0.984,0.984,0.984,0.984
50,0.992,0.992,0.992,0.992,0.992
51,0.924,0.924,0.924,0.924,0.924
52,0.94,0.94,0.94,0.94,0.94
53,0.936,0.936,0.936,0.936,0.936
54,0.956,0.956,0.956,0.956,0.956
55,0.936,0.936,0.936,0.936,0.936
56,0.964,0.964,0.964,0.964,0.964
57,0.96,0.96,0.96,0.96,0.96
58,0.968,0.968,0.968,0.968,0.968
59,0.944,0.944,0.944,0.944,0.944
60,0.976,0.976,0.976,0.976,0.976
61,0.948,0.948,0.948,0.948,0.948
62,0.976,0.976,0.976,0.976,0.976
63,0.936,0.936,0.936,0.936,0.936
64,0.96,0.96,0.96,0.96,0.96
65,0.944,0.944,0.944,0.944,0.944
66,0.956,0.956,0.956,0.956,0.956
67,0.956,0.956,0.956,0.956,0.956
68,0.972,0.972,0.972,0.972,0.972
69,0.972,0.972,0.972,0.972,0.972
70,0.964,0.964,0.964,0.964,0.964
71,0.964,0.964,0.964,0.964,0.964
72,0.968,0.968,0.968,0.968,0.968
73,0.972,0.972,0.972,0.972,0.972
74,0.972,0.972,0.972,0.972,0.972
75,0.908,0.908,0.908,0.908,0.908
76,0.996,0.996,0.996,0.996,0.996
77,0.988,0.988,0.988,0.988,0.988
78,0.988,0.988,0.988,0.988,0.988
79,0.972,0.972,0.972,0.972,0.972
80,0.932,0.932,0.932,0.932,0.932
81,0.96,0.96,0.96,0.96,0.96
82,0.956,0.956,0.956,0.956,0.956
83,0.972,0.972,0.972,0.972,0.972
84,0.956,0.956,0.956,0.956,0.956
85,0.968,0.968,0.968,0.968,0.968
86,0.976,0.976,0.976,0.976,0.976
87,0.988,0.988,0.988,0.988,0.988
88,0.992,0.992,0.992,0.992,0.992
89,0.98,0.98,0.98,0.98,0.98
90,0.976,0.976,0.976,0.976,0.976
91,0.984,0.984,0.984,0.984,0.984
92,0.964,0.964,0.964,0.964,0.964
93,0.98,0.98,0.98,0.98,0.98
94,0.976,0.976,0.976,0.976,0.976
95,0.98,0.98,0.98,0.98,0.98
96,0.964,0.964,0.964,0.964,0.964
97,0.98,0.98,0.98,0.98,0.98
98,0.936,0.936,0.936,0.936,0.936
99,0.992,0.992,0.992,0.992,0.992
100,0.968,0.968,0.968,0.968,0.968
101,0.892,0.892,0.892,0.892,0.892
102,0.912,0.912,0.912,0.912,0.912
103,0.952,0.952,0.952,0.952,0.952
104,0.98,0.98,0.98,0.98,0.98
105,0.972,0.972,0.972,0.972,0.972
106,0.984,0.984,0.984,0.984,0.984
107,0.984,0.984,0.984,0.984,0.984
108,0.992,0.992,0.992,0.992,0.992
109,0.968,0.968,0.968,0.968,0.968
110,0.992,0.992,0.992,0.992,0.992
111,0.996,0.996,0.996,0.996,0.996
112,0.996,0.996,0.996,0.996,0.996
113,1.0,1.0,1.0,1.0,1.0
114,0.992,0.992,0.992,0.992,0.992
115,0.98,0.98,0.98,0.98,0.98
116,0.988,0.988,0.988,0.988,0.988
117,0.98,0.98,0.98,0.98,0.98
118,0.972,0.972,0.972,0.972,0.972
119,0.972,0.972,0.972,0.972,0.972
120,0.968,0.968,0.968,0.968,0.968
121,0.98,0.98,0.98,0.98,0.98
122,0.98,0.98,0.98,0.98,0.98
123,0.992,0.992,0.992,0.992,0.992
124,0.976,0.976,0.976,0.976,0.976
125,0.972,0.972,0.972,0.972,0.972
126,0.996,0.996,0.996,0.996,0.996
127,1.0,1.0,1.0,1.0,1.0
128,0.972,0.972,0.972,0.972,0.972
129,0.984,0.984,0.984,0.984,0.984
130,0.964,0.964,0.964,0.964,0.964
131,0.956,0.956,0.956,0.956,0.956
132,0.96,0.96,0.96,0.96,0.96
133,0.952,0.952,0.952,0.952,0.952
134,0.976,0.976,0.976,0.976,0.976
135,0.98,0.98,0.98,0.98,0.98
136,0.964,0.964,0.964,0.964,0.964
137,0.76,0.76,0.76,0.76,0.76
138,0.968,0.968,0.968,0.968,0.968
139,0.972,0.972,0.972,0.972,0.972
140,0.972,0.972,0.972,0.972,0.972
141,0.964,0.964,0.964,0.964,0.964
142,0.968,0.968,0.968,0.968,0.968
143,0.956,0.956,0.956,0.956,0.956
144,0.96,0.96,0.96,0.96,0.96
145,0.96,0.96,0.96,0.96,0.96
