"Batch", "leaf_size = 10", "leaf_size = 20", "leaf_size = 30", "leaf_size = 40", "leaf_size = 50"
1,0.94,0.94,0.94,0.94,0.94
2,0.948,0.948,0.948,0.948,0.948
3,0.976,0.976,0.976,0.976,0.976
4,0.964,0.964,0.964,0.964,0.964
5,0.948,0.948,0.948,0.948,0.948
6,0.972,0.972,0.972,0.972,0.972
7,0.956,0.956,0.956,0.956,0.956
8,0.952,0.952,0.952,0.952,0.952
9,0.968,0.968,0.968,0.968,0.968
10,0.956,0.956,0.956,0.956,0.956
11,0.968,0.968,0.968,0.968,0.968
12,0.944,0.944,0.944,0.944,0.944
13,0.948,0.948,0.948,0.948,0.948
14,0.984,0.984,0.984,0.984,0.984
15,0.94,0.94,0.94,0.94,0.94
16,0.956,0.956,0.956,0.956,0.956
17,0.956,0.956,0.956,0.956,0.956
18,0.96,0.96,0.96,0.96,0.96
19,0.948,0.948,0.948,0.948,0.948
20,0.976,0.976,0.976,0.976,0.976
21,0.956,0.956,0.956,0.956,0.956
22,0.96,0.96,0.96,0.96,0.96
23,0.984,0.984,0.984,0.984,0.984
24,0.956,0.956,0.956,0.956,0.956
25,0.956,0.956,0.956,0.956,0.956
26,0.96,0.96,0.96,0.96,0.96
27,0.956,0.956,0.956,0.956,0.956
28,0.968,0.968,0.968,0.968,0.968
29,0.956,0.956,0.956,0.956,0.956
30,0.968,0.968,0.968,0.968,0.968
31,0.96,0.96,0.96,0.96,0.96
32,0.936,0.936,0.936,0.936,0.936
33,0.964,0.964,0.964,0.964,0.964
34,0.928,0.928,0.928,0.928,0.928
35,0.952,0.952,0.952,0.952,0.952
36,0.988,0.988,0.988,0.988,0.988
37,0.96,0.96,0.96,0.96,0.96
38,0.972,0.972,0.972,0.972,0.972
39,0.956,0.956,0.956,0.956,0.956
40,0.948,0.948,0.948,0.948,0.948
41,0.964,0.964,0.964,0.964,0.964
42,0.952,0.952,0.952,0.952,0.952
43,0.952,0.952,0.952,0.952,0.952
44,0.956,0.956,0.956,0.956,0.956
45,0.972,0.972,0.972,0.972,0.972
46,0.952,0.952,0.952,0.952,0.952
47,0.96,0.96,0.96,0.96,0.96
48,0.968,0.968,0.968,0.968,0.968
49,0.944,0.944,0.944,0.944,0.944
50,0.96,0.96,0.96,0.96,0.96
51,0.92,0.92,0.92,0.92,0.92
52,0.932,0.932,0.932,0.932,0.932
53,0.96,0.96,0.96,0.96,0.96
54,0.972,0.972,0.972,0.972,0.972
55,0.94,0.94,0.94,0.94,0.94
56,0.924,0.924,0.924,0.924,0.924
57,0.952,0.952,0.952,0.952,0.952
58,0.94,0.94,0.94,0.94,0.94
59,0.96,0.96,0.96,0.96,0.96
60,0.956,0.956,0.956,0.956,0.956
61,0.968,0.968,0.968,0.968,0.968
62,0.956,0.956,0.956,0.956,0.956
63,0.932,0.932,0.932,0.932,0.932
64,0.924,0.924,0.924,0.924,0.924
65,0.936,0.936,0.936,0.936,0.936
66,0.932,0.932,0.932,0.932,0.932
67,0.944,0.944,0.944,0.944,0.944
68,0.944,0.944,0.944,0.944,0.944
69,0.944,0.944,0.944,0.944,0.944
70,0.96,0.96,0.96,0.96,0.96
71,0.944,0.944,0.944,0.944,0.944
72,0.964,0.964,0.964,0.964,0.964
73,0.936,0.936,0.936,0.936,0.936
74,0.944,0.944,0.944,0.944,0.944
75,0.94,0.94,0.94,0.94,0.94
76,0.972,0.972,0.972,0.972,0.972
77,0.968,0.968,0.968,0.968,0.968
78,0.952,0.952,0.952,0.952,0.952
79,0.96,0.96,0.96,0.96,0.96
80,0.956,0.956,0.956,0.956,0.956
81,0.976,0.976,0.976,0.976,0.976
82,0.968,0.968,0.968,0.968,0.968
83,0.948,0.948,0.948,0.948,0.948
84,0.952,0.952,0.952,0.952,0.952
85,0.964,0.964,0.964,0.964,0.964
86,0.956,0.956,0.956,0.956,0.956
87,0.964,0.964,0.964,0.964,0.964
88,0.976,0.976,0.976,0.976,0.976
