"Batch", "max_window_size = 50", "max_window_size = 100", "max_window_size = 300", "max_window_size = 500", "max_window_size = 1000", "max_window_size = 2000"
1,0.904,0.88,0.94,0.94,0.94,0.94
2,0.868,0.876,0.932,0.948,0.948,0.948
3,0.916,0.928,0.94,0.972,0.976,0.976
4,0.884,0.916,0.916,0.928,0.964,0.964
5,0.824,0.928,0.952,0.96,0.948,0.952
6,0.852,0.912,0.924,0.944,0.972,0.976
7,0.888,0.916,0.908,0.936,0.956,0.944
8,0.916,0.936,0.944,0.956,0.952,0.964
9,0.864,0.88,0.948,0.948,0.968,0.968
10,0.912,0.912,0.948,0.944,0.956,0.968
11,0.924,0.92,0.944,0.944,0.968,0.984
12,0.876,0.876,0.928,0.956,0.944,0.928
13,0.816,0.864,0.908,0.908,0.948,0.964
14,0.952,0.948,0.948,0.936,0.984,0.976
15,0.872,0.904,0.932,0.944,0.94,0.96
16,0.856,0.904,0.92,0.924,0.956,0.956
17,0.896,0.92,0.94,0.936,0.956,0.972
18,0.904,0.916,0.948,0.956,0.96,0.964
19,0.88,0.904,0.932,0.964,0.948,0.972
20,0.76,0.936,0.972,0.968,0.976,0.976
21,0.904,0.944,0.964,0.988,0.956,0.96
22,0.86,0.94,0.968,0.956,0.96,0.984
23,0.928,0.96,0.952,0.968,0.984,0.988
24,0.888,0.884,0.956,0.944,0.956,0.972
25,0.832,0.852,0.924,0.96,0.956,0.952
26,0.948,0.956,0.948,0.948,0.96,0.976
27,0.904,0.908,0.928,0.936,0.956,0.952
28,0.896,0.932,0.928,0.952,0.968,0.956
29,0.904,0.944,0.964,0.96,0.956,0.98
30,0.856,0.912,0.952,0.956,0.968,0.964
31,0.88,0.896,0.896,0.968,0.96,0.968
32,0.72,0.86,0.912,0.94,0.936,0.96
33,0.868,0.884,0.94,0.932,0.964,0.968
34,0.888,0.868,0.92,0.92,0.928,0.944
35,0.86,0.892,0.912,0.94,0.952,0.96
36,0.892,0.944,0.936,0.952,0.988,0.972
37,0.772,0.844,0.924,0.944,0.96,0.96
38,0.924,0.924,0.952,0.96,0.972,0.972
39,0.888,0.948,0.952,0.972,0.956,0.976
40,0.944,0.94,0.908,0.94,0.948,0.96
41,0.856,0.908,0.932,0.916,0.964,0.98
42,0.856,0.932,0.924,0.936,0.952,0.972
43,0.892,0.94,0.932,0.94,0.952,0.956
44,0.796,0.868,0.928,0.948,0.956,0.964
45,0.884,0.932,0.948,0.948,0.972,0.968
46,0.92,0.964,0.936,0.928,0.952,0.956
47,0.872,0.916,0.92,0.948,0.96,0.968
48,0.856,0.916,0.94,0.96,0.968,0.964
49,0.84,0.924,0.944,0.956,0.944,0.98
50,0.868,0.896,0.908,0.948,0.96,0.956
51,0.868,0.896,0.952,0.924,0.92,0.916
52,0.772,0.892,0.94,0.936,0.932,0.92
53,0.892,0.892,0.928,0.952,0.96,0.936
54,0.912,0.888,0.964,0.94,0.972,0.96
55,0.832,0.864,0.936,0.956,0.94,0.944
56,0.828,0.888,0.916,0.936,0.924,0.952
57,0.912,0.944,0.952,0.944,0.952,0.952
58,0.832,0.896,0.952,0.94,0.94,0.972
59,0.88,0.952,0.96,0.96,0.96,0.964
60,0.904,0.912,0.92,0.936,0.956,0.96
61,0.888,0.884,0.904,0.948,0.968,0.96
62,0.916,0.916,0.956,0.944,0.956,0.98
63,0.888,0.876,0.908,0.924,0.932,0.932
64,0.916,0.92,0.892,0.912,0.924,0.916
65,0.904,0.892,0.908,0.916,0.936,0.94
66,0.82,0.888,0.936,0.94,0.932,0.964
67,0.896,0.884,0.964,0.972,0.944,0.952
68,0.816,0.872,0.936,0.936,0.944,0.948
69,0.856,0.856,0.916,0.92,0.944,0.976
70,0.912,0.892,0.924,0.912,0.96,0.968
71,0.92,0.952,0.924,0.948,0.944,0.956
72,0.756,0.856,0.924,0.94,0.964,0.972
73,0.888,0.912,0.916,0.892,0.936,0.964
74,0.852,0.912,0.956,0.952,0.944,0.98
75,0.852,0.868,0.904,0.94,0.94,0.952
76,0.896,0.932,0.96,0.972,0.972,0.972
77,0.928,0.944,0.944,0.98,0.968,0.968
78,0.816,0.908,0.94,0.936,0.952,0.952
79,0.836,0.852,0.944,0.94,0.96,0.968
80,0.88,0.884,0.9,0.944,0.956,0.948
81,0.756,0.892,0.92,0.948,0.976,0.964
82,0.908,0.884,0.96,0.968,0.968,0.952
83,0.868,0.864,0.908,0.9,0.948,0.952
84,0.912,0.904,0.932,0.968,0.952,0.952
85,0.796,0.876,0.952,0.94,0.964,0.98
86,0.908,0.912,0.936,0.96,0.956,0.98
87,0.808,0.872,0.944,0.956,0.964,0.972
88,0.912,0.94,0.928,0.96,0.976,0.964
89,0.868,0.876,0.956,0.944,0.956,0.948
90,0.84,0.88,0.932,0.94,0.936,0.936
91,0.924,0.936,0.956,0.96,0.96,0.956
92,0.888,0.896,0.924,0.928,0.96,0.956
93,0.856,0.884,0.908,0.94,0.96,0.96
94,0.88,0.888,0.94,0.936,0.956,0.952
95,0.88,0.904,0.948,0.94,0.96,0.972
96,0.864,0.864,0.952,0.944,0.968,0.98
97,0.884,0.908,0.92,0.932,0.956,0.98
98,0.88,0.888,0.896,0.956,0.936,0.948
99,0.876,0.916,0.932,0.936,0.944,0.956
100,0.86,0.864,0.932,0.944,0.944,0.964
101,0.844,0.868,0.944,0.924,0.892,0.856
102,0.932,0.928,0.956,0.948,0.928,0.9
103,0.888,0.94,0.976,0.964,0.952,0.912
104,0.848,0.928,0.908,0.948,0.94,0.916
105,0.9,0.92,0.956,0.948,0.952,0.932
106,0.908,0.936,0.944,0.968,0.956,0.956
107,0.868,0.936,0.936,0.956,0.976,0.98
108,0.864,0.92,0.932,0.956,0.964,0.964
109,0.896,0.924,0.936,0.948,0.972,0.98
110,0.932,0.928,0.944,0.952,0.972,0.948
111,0.916,0.98,0.94,0.98,0.98,0.98
112,0.916,0.936,0.928,0.964,0.972,0.976
113,0.948,0.976,0.948,0.976,0.976,0.984
114,0.88,0.948,0.964,0.944,0.976,0.972
115,0.848,0.844,0.896,0.94,0.976,0.96
116,0.896,0.928,0.936,0.94,0.94,0.956
117,0.888,0.928,0.948,0.952,0.956,0.952
118,0.92,0.956,0.956,0.952,0.952,0.96
119,0.888,0.944,0.964,0.972,0.96,0.968
120,0.94,0.944,0.968,0.964,0.972,0.976
121,0.936,0.96,0.984,0.972,0.98,0.972
122,0.876,0.916,0.96,0.972,0.972,0.972
123,0.82,0.864,0.928,0.92,0.944,0.94
124,0.9,0.92,0.944,0.928,0.932,0.944
125,0.928,0.94,0.94,0.948,0.948,0.964
126,0.908,0.948,0.976,0.964,0.964,0.968
127,0.828,0.924,0.952,0.976,0.96,0.964
128,0.876,0.8,0.932,0.952,0.972,0.976
129,0.868,0.892,0.94,0.94,0.976,0.968
130,0.884,0.932,0.948,0.94,0.948,0.948
131,0.892,0.944,0.972,0.972,0.972,0.968
132,0.892,0.86,0.916,0.924,0.956,0.972
133,0.888,0.924,0.96,0.972,0.96,0.988
134,0.888,0.916,0.96,0.96,0.976,0.956
135,0.928,0.904,0.904,0.932,0.96,0.964
136,0.856,0.928,0.968,0.952,0.956,0.968
137,0.94,0.948,0.932,0.94,0.96,0.964
138,0.932,0.952,0.972,0.972,0.964,0.952
139,0.9,0.944,0.96,0.952,0.976,0.952
140,0.848,0.94,0.956,0.976,0.984,0.976
141,0.844,0.924,0.928,0.94,0.952,0.972
142,0.84,0.936,0.944,0.956,0.956,0.968
143,0.876,0.936,0.94,0.948,0.968,0.972
144,0.92,0.928,0.94,0.956,0.952,0.948
145,0.916,0.924,0.952,0.944,0.948,0.984
146,0.928,0.936,0.94,0.952,0.956,0.964
147,0.916,0.952,0.96,0.964,0.972,0.976
148,0.924,0.916,0.936,0.972,0.964,0.984
149,0.908,0.956,0.984,0.98,0.988,0.988
150,0.932,0.94,0.932,0.956,0.98,0.984
151,0.88,0.908,0.944,0.908,0.896,0.876
152,0.888,0.88,0.924,0.92,0.888,0.84
153,0.828,0.864,0.916,0.932,0.916,0.876
154,0.876,0.92,0.916,0.936,0.948,0.872
155,0.82,0.912,0.956,0.98,0.976,0.924
156,0.856,0.896,0.912,0.936,0.952,0.928
157,0.912,0.884,0.932,0.94,0.944,0.952
158,0.852,0.9,0.932,0.944,0.956,0.96
159,0.872,0.912,0.94,0.936,0.968,0.98
160,0.936,0.916,0.928,0.96,0.976,0.972
161,0.84,0.904,0.92,0.932,0.944,0.956
162,0.784,0.88,0.884,0.904,0.936,0.952
