"Batch", "n_neighbors = 1", "n_neighbors = 3", "n_neighbors = 5", "n_neighbors = 10", "n_neighbors = 20"
1,0.86,0.94,0.94,0.948,0.948
2,0.872,0.948,0.948,0.964,0.976
3,0.916,0.968,0.976,0.968,0.984
4,0.904,0.936,0.964,0.972,0.972
5,0.864,0.928,0.948,0.952,0.968
6,0.9,0.96,0.972,0.976,0.952
7,0.864,0.94,0.956,0.96,0.968
8,0.844,0.952,0.952,0.96,0.964
9,0.892,0.956,0.968,0.956,0.976
10,0.88,0.944,0.956,0.964,0.96
11,0.86,0.944,0.968,0.956,0.956
12,0.864,0.92,0.944,0.94,0.944
13,0.868,0.94,0.948,0.964,0.944
14,0.876,0.956,0.984,0.968,0.964
15,0.86,0.948,0.94,0.972,0.952
16,0.864,0.936,0.956,0.956,0.956
17,0.884,0.932,0.956,0.964,0.968
18,0.912,0.936,0.96,0.96,0.964
19,0.888,0.94,0.948,0.968,0.976
20,0.892,0.956,0.976,0.98,0.972
21,0.876,0.952,0.956,0.968,0.984
22,0.908,0.952,0.96,0.964,0.964
23,0.908,0.952,0.984,0.972,0.976
24,0.876,0.936,0.956,0.976,0.972
25,0.896,0.956,0.956,0.956,0.968
26,0.868,0.964,0.96,0.972,0.968
27,0.888,0.936,0.956,0.952,0.952
28,0.892,0.944,0.968,0.984,0.976
29,0.904,0.956,0.956,0.96,0.956
30,0.892,0.956,0.968,0.96,0.972
31,0.888,0.948,0.96,0.968,0.964
32,0.868,0.928,0.936,0.96,0.952
33,0.884,0.944,0.964,0.968,0.956
34,0.908,0.924,0.928,0.932,0.94
35,0.872,0.932,0.952,0.964,0.948
36,0.872,0.948,0.988,0.98,0.984
37,0.848,0.932,0.96,0.948,0.964
38,0.892,0.952,0.972,0.972,0.972
39,0.904,0.94,0.956,0.968,0.968
40,0.832,0.916,0.948,0.948,0.972
41,0.888,0.952,0.964,0.984,0.972
42,0.848,0.956,0.952,0.948,0.948
43,0.872,0.932,0.952,0.972,0.968
44,0.864,0.952,0.956,0.956,0.952
45,0.876,0.94,0.972,0.972,0.968
46,0.88,0.944,0.952,0.952,0.956
47,0.848,0.94,0.96,0.976,0.976
48,0.88,0.956,0.968,0.96,0.972
49,0.916,0.956,0.944,0.96,0.964
50,0.864,0.916,0.96,0.964,0.98
51,0.82,0.876,0.92,0.92,0.932
52,0.84,0.896,0.932,0.952,0.944
53,0.86,0.936,0.96,0.964,0.968
54,0.916,0.948,0.972,0.98,0.984
55,0.892,0.928,0.94,0.956,0.96
56,0.856,0.904,0.924,0.96,0.964
57,0.868,0.928,0.952,0.956,0.968
58,0.816,0.916,0.94,0.956,0.964
59,0.916,0.944,0.96,0.968,0.964
60,0.892,0.94,0.956,0.96,0.956
61,0.872,0.944,0.968,0.956,0.944
62,0.912,0.96,0.956,0.964,0.976
63,0.892,0.94,0.932,0.932,0.932
64,0.848,0.912,0.924,0.916,0.904
65,0.844,0.916,0.936,0.92,0.936
66,0.86,0.92,0.932,0.932,0.924
67,0.872,0.94,0.944,0.936,0.932
68,0.872,0.932,0.944,0.952,0.948
69,0.856,0.932,0.944,0.952,0.956
70,0.88,0.944,0.96,0.948,0.944
71,0.852,0.936,0.944,0.964,0.956
72,0.904,0.944,0.964,0.944,0.96
73,0.836,0.912,0.936,0.952,0.956
74,0.9,0.944,0.944,0.956,0.96
75,0.812,0.908,0.94,0.936,0.932
76,0.904,0.94,0.972,0.98,0.98
77,0.852,0.944,0.968,0.964,0.972
78,0.856,0.928,0.952,0.94,0.956
79,0.92,0.936,0.96,0.96,0.968
80,0.88,0.94,0.956,0.96,0.94
81,0.896,0.928,0.976,0.964,0.952
82,0.884,0.924,0.968,0.98,0.972
83,0.828,0.936,0.948,0.956,0.972
84,0.856,0.932,0.952,0.956,0.968
85,0.876,0.952,0.964,0.956,0.968
86,0.876,0.96,0.956,0.968,0.972
87,0.872,0.944,0.964,0.968,0.976
88,0.856,0.94,0.976,0.98,0.972
89,0.88,0.92,0.956,0.948,0.952
90,0.872,0.916,0.936,0.952,0.944
91,0.884,0.94,0.96,0.972,0.968
92,0.872,0.956,0.96,0.944,0.96
93,0.932,0.956,0.96,0.976,0.968
94,0.912,0.948,0.956,0.972,0.964
95,0.86,0.944,0.96,0.976,0.964
96,0.872,0.948,0.968,0.972,0.964
97,0.888,0.944,0.956,0.972,0.976
98,0.876,0.904,0.936,0.956,0.964
99,0.856,0.924,0.944,0.96,0.976
100,0.844,0.944,0.944,0.948,0.944
101,0.828,0.888,0.892,0.912,0.924
102,0.812,0.916,0.928,0.952,0.948
103,0.86,0.944,0.952,0.972,0.968
104,0.884,0.916,0.94,0.956,0.96
105,0.848,0.944,0.952,0.96,0.964
106,0.872,0.936,0.956,0.98,0.976
107,0.932,0.948,0.976,0.98,0.98
108,0.908,0.956,0.964,0.98,0.972
109,0.896,0.968,0.972,0.964,0.968
110,0.888,0.944,0.972,0.968,0.98
111,0.92,0.96,0.98,0.984,0.988
112,0.872,0.956,0.972,0.984,0.988
113,0.9,0.956,0.976,0.98,0.984
114,0.9,0.964,0.976,0.988,0.992
115,0.88,0.944,0.976,0.984,0.968
116,0.828,0.908,0.94,0.98,0.976
117,0.876,0.944,0.956,0.972,0.972
118,0.888,0.928,0.952,0.96,0.96
119,0.9,0.952,0.96,0.956,0.98
120,0.868,0.96,0.972,0.96,0.968
121,0.92,0.972,0.98,0.984,0.984
122,0.92,0.968,0.972,0.972,0.968
123,0.844,0.94,0.944,0.952,0.964
124,0.888,0.9,0.932,0.96,0.96
125,0.856,0.924,0.948,0.96,0.964
126,0.868,0.936,0.964,0.976,0.976
127,0.864,0.92,0.96,0.972,0.984
128,0.92,0.956,0.972,0.968,0.984
129,0.888,0.968,0.976,0.98,0.972
130,0.888,0.916,0.948,0.948,0.96
131,0.88,0.968,0.972,0.972,0.964
